URL,status_code,relevant
https://ariseselfdefense.squarespace.com/girls-self-defense-classes,200.0,True
http://discussion.co.in/domain-list-117,200.0,False
https://aspireyogastudio.com/memberships/,200.0,True
https://balancestudiocohasset.com/200-hr-ytt-dates-details/,200.0,True
https://axisjiujitsumelbourne.com.au/pages/kids-jiu-jitsu,200.0,True
https://amyhudson.co/product-tag/free/,404.0,False
http://thewebdirectory.net/domain-list-117,200.0,False
https://asisinaz.com/yoga-hikes-1,200.0,True
https://ascentiah.squarespace.com/quantum-laser-light-facial,200.0,False
https://bailemos-amsterdam.com/parties/,200.0,False
https://appadvice.com/game/app/floo-id-yoga-app/6499473027,200.0,True
https://aqua-purple-37x6.squarespace.com/pricing,200.0,False
https://awakenstudios.squarespace.com/childcare1,404.0,False
https://awakebodies.com/special-events/,200.0,False
https://athashala.com/spa-packages/,200.0,True
https://ashayoga.com.au/covid-safe/,200.0,True
https://amanda-sauro-4373.squarespace.com/schedule,200.0,True
https://adorepilates.com.au/,200.0,False
https://azalea-teal-wtae.squarespace.com/corys-blog/jnana-mudra,200.0,True
https://avocado-beige-jh6y.squarespace.com/pricing-1,200.0,False
https://azhealingspace.com/workshops/,200.0,True
https://adelineyoga.com/event/beginners-immersion/,200.0,True
https://balancdfit.com/online-studio-2/,200.0,False
https://balancedpracticeyoga.com/,200.0,True
https://bio.site/BFWC,200.0,True
https://bebrave.yoga/about-classes-%2B-pricing,200.0,False
https://bamboo-pineapple-bcga.squarespace.com/pricing,200.0,True
https://blackmat.au/intro-offer,200.0,True
https://barefootbirmingham.com/carers/,200.0,False
https://barreitallfitness.com/frankfort/,200.0,True
https://beyondthebarre.co/,200.0,False
https://basecampyoga.co.nz/pages/timetable,200.0,True
https://bigpoweryoga.com/pages/houston-montrose,200.0,True
https://bondirise.com/timetable/,200.0,True
https://blackbeingla.org/,200.0,False
https://bewellihs.com/services/yoga/,200.0,True
https://bestbody.com.au/studio/south-perth-reformer-pilates/,202.0,False
https://banffpride.ca/events/flowwithpride0619,200.0,False
https://behot.yoga/reviews-and-faq,200.0,False
https://bellflower-emu-x4as.squarespace.com/,404.0,False
https://baybreez.com/evolve-yoga-wellness-nurturing-mind-body-and-soul/,200.0,True
https://australianyogaacademy.com/timetable/,200.0,True
https://blissology.com/event/yoga-optimized-workshop-vancouver-2024/,202.0,False
https://bikramyogaleicester.com/schedule-2-2/,200.0,True
https://bisquestudios.com/shortcourses,202.0,False
https://behandlerrum.dk/interne-events/energi-traening-sep,200.0,True
https://bat-gar-sfs2.squarespace.com/west-coast-swing,200.0,False
https://bison-cone-h632.squarespace.com/london-day-retreat-26oct,404.0,False
https://bourkestthelabel.com/blogs/on-bourke-st/puppies-and-pilates-charity-day,200.0,True
https://blueskypilatesandwellness.com/pilates-pricing-packages/,200.0,True
https://bendurbangardens.com/workshops,200.0,False
https://bhuti.co/workshops-events/reiki-i-course/,404.0,False
https://bison-grasshopper-b5p3.squarespace.com/event-calendar?category=Guest+Instructor,200.0,True
https://bhav.squarespace.com/events/z4c5rixfkvkjrpawsonnwb55cq19y8-awc7w,404.0,False
https://boston-yoga-collective.squarespace.com/four-foundations-mindfulness-fez-aswat,404.0,False
https://breathlife.co.uk/breathwork-classes/breathwork-somatics-west-london1-6d5me-bm5zr-gsj8p-l5mpm,200.0,False
https://bodybellybaby.com/in-person-classes/pregnancy/prenatal-yoga-improves-your-flexibility-mood-and-strengh/,200.0,True
https://bronze-apple-p38p.squarespace.com/upcoming-events/intro-to-somatics-p43a2,200.0,True
https://busybeingkids.com/,200.0,True
https://belymbr.com/hamptons-sessions/,200.0,False
https://berkeleycreative.squarespace.com/events/aerial-sound-bath,200.0,True
https://blenny-chihuahua-zafz.squarespace.com/about,200.0,False
https://buenavidafitness.co.uk/bookclasses/,202.0,False
https://buffalo-coyote-7n9t.squarespace.com/schedule/fly-a-self-love-day-retreat-wcat7,404.0,False
https://bullfrog-octagon-b5x9.squarespace.com/back-care-challenge,200.0,True
https://bye.fyi/keyword-ranking/1914075/booking+revolution+android,200.0,False
https://bodhifitstudio.com/studio,200.0,False
https://beyondmove.squarespace.com/membership,200.0,False
https://birminghamcarershub.org.uk/event/carer-life-spa-3/2024-03-28/,200.0,True
https://bullfrog-apricot-2p7l.squarespace.com/pilates-teacher-certification-orlando,200.0,False
https://bekindstudios.flywheelsites.com/pricing/,200.0,True
https://business.goconifer.com/events/details/women-s-circle-42900,200.0,True
https://board30abq.com/event/strong-bones/,404.0,False
https://bronwynbenstead.com/gathered,200.0,True
https://blackbird-lynx-axkm.squarespace.com/events-list,200.0,True
https://breatheojai.squarespace.com/true-north-yoga-school-breathe-ojai-teacher-training,404.0,False
https://bostonyogacollective.org/lindsay-metz-yoga-boston-cambridge,200.0,True
https://cactusvine.com/pages/upcoming-events,200.0,False
https://breatheyogastudio.com/schedule/,202.0,False
https://bodyfitbyhollymay.au/,200.0,False
https://banffpride.squarespace.com/events?category=Events,200.0,False
https://bison-tarpon-rlh8.squarespace.com/workshops,200.0,False
https://business.grantspasschamber.org/events/details/sound-bath-women-s-circle-49725,200.0,False
https://caley-hui.squarespace.com/blog/instructor-stories/sarah-zandbeek,200.0,True
https://canberradigest.com.au/issues/2024/june-25,200.0,False
https://calliope-ukulele-wz4p.squarespace.com/workshops,404.0,False
https://canvasrebel.com/meet-sivan-harary/,500.0,False
https://cello-flugelhorn-aj6z.squarespace.com/pricing,404.0,False
https://casey-michelle.com/24-breathwork-tour,200.0,False
https://canvaspilates.squarespace.com/contact,200.0,False
https://chimes-flounder-htht.squarespace.com/values-mission,404.0,False
https://cashbackdeals.in/domain-list-142,200.0,False
https://caspercowboy.com/ixp/101/p/summer-schedule-for-yoga-on-the-labyrinth/,200.0,True
https://classpass.nl/studios/total-balance-yoga-and-fitness-pittsburgh,200.0,True
https://classpass.com/studios/total-balance-yoga-and-fitness-pittsburgh,200.0,True
https://brisbanenaturalhealth.com/category/naturopathy/,200.0,True
https://classpass.fr/studios/total-balance-yoga-and-fitness-pittsburgh,200.0,True
https://carrieann-belanger.squarespace.com/workshops/2024/4/24/the-great-yoga-wall-3-week-series-gr8nm,200.0,True
https://chrysalis-elk-jxl2.squarespace.com/mangia/blog-post-1-g94mr-3mpmd-x4zrm-ps63z-567zz,200.0,False
https://classpass.com.es/studios/total-balance-yoga-and-fitness-pittsburgh,200.0,True
https://cheetah-sturgeon-njtr.squarespace.com/kids-yoga,200.0,True
https://circle-bugle-dy87.squarespace.com/our-events/pilates-pints-2,200.0,False
